target,surrogate,bulk_R2,bulk_coincident_recovery,bulk,coincident count,bin_r2,bin_target/surrogate_ratio,bin_coincident_recovery
BR2-K012,BR2-K015,0.889373517,0.559150533,all,27430,0.897008044,0.978490947,0.568627045
BR2-K012,BR2-K009,0.888685535,0.350028058,all,17075,0.901844318,1.033662516,0.353966707
BR2-K012,BR2-K009,0.888685535,0.350028058,all,17075,0.901844318,1.033662516,0.353966707
BR2-K012,BR2-K014,0.886381034,0.47118757,all,23127,0.89596058,1.003882892,0.479425361
BR2-K012,BR2-K014,0.886381034,0.47118757,all,23127,0.89596058,1.003882892,0.479425361
BR2-K012,BR2-K013,0.880550057,0.558712121,all,27035,0.883103811,1.041503482,0.560438649
BR2-K012,BR2-K013,0.880550057,0.558712121,all,27035,0.883103811,1.041503482,0.560438649
BR2-K012,BR2-K006,0.875238974,0.456912879,all,22495,0.882292851,1.052086348,0.466323929
BR2-K012,BR2-K006,0.875238974,0.456912879,all,22495,0.882292851,1.052086348,0.466323929
BR2-K012,BR2-K005,0.855873923,0.608024691,all,29475,0.865002731,1.017656747,0.611020129
BR2-K012,BR2-K005,0.855873923,0.608024691,all,29475,0.865002731,1.017656747,0.611020129
BR2-K012,BR2-K011,0.83814985,0.261363636,all,12074,0.845454042,1.084865026,0.250295404
BR2-K012,BR2-K011,0.83814985,0.261363636,all,12074,0.845454042,1.084865026,0.250295404
BR2-K012,BR2-K002,0.819474097,0.528409091,all,25617,0.830043198,1.052789487,0.531043347
BR2-K012,BR2-K002,0.819474097,0.528409091,all,25617,0.830043198,1.052789487,0.531043347
BR2-K012,BR2-K017,0.818136686,0.349624719,all,16201,0.818279307,0.925239567,0.335848587
BR2-K012,BR2-K017,0.818136686,0.349624719,all,16201,0.818279307,0.925239567,0.335848587
BR2-K012,BR2-K004,0.815553339,0.564902497,all,27265,0.82285237,0.995116786,0.565206576
BR2-K012,BR2-K004,0.815553339,0.564902497,all,27265,0.82285237,0.995116786,0.565206576
BR2-K013,BR2-K014,0.898182136,0.480008418,all,27372,0.898182136,0.960368142,0.480008418
BR2-K013,BR2-K014,0.898182136,0.480008418,all,27372,0.898182136,0.960368142,0.480008418
BR2-K013,BR2-K012,0.880550057,0.558712121,all,27035,0.883103811,0.960150415,0.560438649
BR2-K013,BR2-K012,0.880550057,0.558712121,all,27035,0.883103811,0.960150415,0.560438649
BR2-K013,BR2-K015,0.868060983,0.50273569,all,28668,0.868060983,0.930766752,0.50273569
BR2-K013,BR2-K015,0.868060983,0.50273569,all,28668,0.868060983,0.930766752,0.50273569
BR2-K013,BR2-K006,0.854840365,0.44849537,all,25575,0.854840365,1.00638735,0.44849537
BR2-K013,BR2-K006,0.854840365,0.44849537,all,25575,0.854840365,1.00638735,0.44849537
BR2-K013,BR2-K009,0.841755917,0.357410915,all,20381,0.841755917,0.994671878,0.357410915
BR2-K013,BR2-K009,0.841755917,0.357410915,all,20381,0.841755917,0.994671878,0.357410915
BR2-K013,BR2-K005,0.827940332,0.579527918,all,33047,0.827940332,0.980208092,0.579527918
BR2-K013,BR2-K005,0.827940332,0.579527918,all,33047,0.827940332,0.980208092,0.579527918
BR2-K013,BR2-K011,0.814194591,0.224186308,all,12784,0.814194591,1.04496467,0.224186308
BR2-K013,BR2-K011,0.814194591,0.224186308,all,12784,0.814194591,1.04496467,0.224186308
BR2-K013,BR2-K002,0.811300542,0.487338664,all,27790,0.811300542,1.026939555,0.487338664
BR2-K013,BR2-K002,0.811300542,0.487338664,all,27790,0.811300542,1.026939555,0.487338664
BR2-K013,BR2-K004,0.804787812,0.523674242,all,29862,0.804787812,0.976629675,0.523674242
BR2-K013,BR2-K004,0.804787812,0.523674242,all,29862,0.804787812,0.976629675,0.523674242
BR2-K013,BR2-K020,0.793799424,0.561062009,all,29579,0.798730161,0.968845177,0.56277707
BR2-K013,BR2-K020,0.793799424,0.561062009,all,29579,0.798730161,0.968845177,0.56277707
BR2-K014,BR2-K015,0.943818518,0.548032407,all,31251,0.943818518,0.952924326,0.548032407
BR2-K014,BR2-K015,0.943818518,0.548032407,all,31251,0.943818518,0.952924326,0.548032407
BR2-K014,BR2-K013,0.898182136,0.480008418,all,27372,0.898182136,1.04126736,0.480008418
BR2-K014,BR2-K013,0.898182136,0.480008418,all,27372,0.898182136,1.04126736,0.480008418
BR2-K014,BR2-K009,0.886847917,0.453914141,all,25884,0.886847917,0.993372662,0.453914141
BR2-K014,BR2-K009,0.886847917,0.453914141,all,25884,0.886847917,0.993372662,0.453914141
BR2-K014,BR2-K012,0.886381034,0.47118757,all,23127,0.89596058,0.996132127,0.479425361
BR2-K014,BR2-K012,0.886381034,0.47118757,all,23127,0.89596058,0.996132127,0.479425361
BR2-K014,BR2-K006,0.873244586,0.469819725,all,26791,0.873244586,1.04933208,0.469819725
BR2-K014,BR2-K006,0.873244586,0.469819725,all,26791,0.873244586,1.04933208,0.469819725
BR2-K014,BR2-K002,0.868061547,0.39311518,all,22417,0.868061547,1.073246051,0.39311518
BR2-K014,BR2-K002,0.868061547,0.39311518,all,22417,0.868061547,1.073246051,0.39311518
BR2-K014,BR2-K011,0.867259959,0.159266274,all,9082,0.867259959,1.073453996,0.159266274
BR2-K014,BR2-K011,0.867259959,0.159266274,all,9082,0.867259959,1.073453996,0.159266274
BR2-K014,BR2-K004,0.851282819,0.427171016,all,24359,0.851282819,1.02828928,0.427171016
BR2-K014,BR2-K004,0.851282819,0.427171016,all,24359,0.851282819,1.02828928,0.427171016
BR2-K014,BR2-K005,0.850862713,0.531337682,all,30299,0.850862713,1.01015228,0.531337682
BR2-K014,BR2-K005,0.850862713,0.531337682,all,30299,0.850862713,1.01015228,0.531337682
BR2-K014,BR2-K003,0.838245825,0.445619388,all,19985,0.849236589,1.031439588,0.456539121
BR2-K014,BR2-K003,0.838245825,0.445619388,all,19985,0.849236589,1.031439588,0.456539121
